graph,r,c,rounding_scheme,worst_case_guarantee
star,0.6,0.8,simulated,0.724801661955383
tree,0.6,0.8,simple,0.5641384852726279
tree,0.6,0.8,simulated,0.6301659453625933
complete,0.6,0.8,simple,0.5264227060082945
complete,0.6,0.8,simulated,0.6993684327399862
bipartite,0.6,0.8,simple,0.00043022442549517067
bipartite,0.6,0.8,simulated,0.5731641620366863
star,0.6,0.9,simple,0.7646581123647013
star,0.6,0.9,simulated,0.7789558207496187
tree,0.6,0.9,simple,0.6271231884834148
tree,0.6,0.9,simulated,0.5820234992658169
complete,0.6,0.9,simple,0.28886586305928963
complete,0.6,0.9,simulated,0.5745763232265924
bipartite,0.6,0.9,simple,0.0012480044941211564
bipartite,0.6,0.9,simulated,0.37150061648844884
star,0.6,1.0,simple,0.0
star,0.6,1.0,simulated,0.0
tree,0.6,1.0,simple,0.322992743256345
tree,0.6,1.0,simulated,0.20185095459089245
complete,0.6,1.0,simple,0.1806347236899683
complete,0.6,1.0,simulated,0.3934561291834428
bipartite,0.6,1.0,simple,0.00040003451058521355
bipartite,0.6,1.0,simulated,0.21372189121369892
star,0.8,0.5,simple,0.4477087949429366
star,0.8,0.5,simulated,0.4156362706620894
tree,0.8,0.5,simple,0.4377082318024433
tree,0.8,0.5,simulated,0.45152298287397286
complete,0.8,0.5,simple,0.4309642791217244
complete,0.8,0.5,simulated,0.38158943953910945
bipartite,0.8,0.5,simple,0.41449099861867356
bipartite,0.8,0.5,simulated,0.37403190897603
star,0.8,0.6,simple,0.4845133342807563
star,0.8,0.6,simulated,0.5099988173311821
tree,0.8,0.6,simple,0.5236062583409828
tree,0.8,0.6,simulated,0.543175044567709
complete,0.8,0.6,simple,0.5163480347496952
complete,0.8,0.6,simulated,0.46692063690993457
bipartite,0.8,0.6,simple,0.31293887844180407
bipartite,0.8,0.6,simulated,0.48859810029976697
star,0.8,0.6666666666666666,simple,0.5215475973772342
star,0.8,0.6666666666666666,simulated,0.5703335693275241
tree,0.8,0.6666666666666666,simple,0.5669915080305559
tree,0.8,0.6666666666666666,simulated,0.6125550993062862
complete,0.8,0.6666666666666666,simple,0.48726306380338197
complete,0.8,0.6666666666666666,simulated,0.5281885473325441
bipartite,0.8,0.6666666666666666,simple,0.2837077994553183
bipartite,0.8,0.6666666666666666,simulated,0.5294316918597081
star,0.8,0.7,simple,0.5034669052827176
star,0.8,0.7,simulated,0.5930256188582534
tree,0.8,0.7,simple,0.6008485128852159
tree,0.8,0.7,simulated,0.6236302431736859
complete,0.8,0.7,simple,0.5001328084021411
complete,0.8,0.7,simulated,0.5727702672678406
bipartite,0.8,0.7,simple,0.17056661514076737
bipartite,0.8,0.7,simulated,0.5518276348912408
star,0.8,0.75,simple,0.5509217317934886
star,0.8,0.75,simulated,0.5868421396472172
tree,0.8,0.75,simple,0.6469344517235337
tree,0.8,0.75,simulated,0.6549743157620552
complete,0.8,0.75,simple,0.5166213545093186
complete,0.8,0.75,simulated,0.6383811320529259
bipartite,0.8,0.75,simple,0.10345629103577193
bipartite,0.8,0.75,simulated,0.5953403484749921
star,0.8,0.8,simple,0.6895766732655783
star,0.8,0.8,simulated,0.631536456989207
tree,0.8,0.8,simple,0.6800684045618264
tree,0.8,0.8,simulated,0.687842954695767
complete,0.8,0.8,simple,0.520423402821833
complete,0.8,0.8,simulated,0.68461568600598
bipartite,0.8,0.8,simple,0.002047586165184043
bipartite,0.8,0.8,simulated,0.619701956753714
star,0.8,0.9,simple,0.7772086172224247
star,0.8,0.9,simulated,0.7772245940550991
tree,0.8,0.9,simple,0.6536540264490159
tree,0.8,0.9,simulated,0.6057450500193162
complete,0.8,0.9,simple,0.2742456444266348
complete,0.8,0.9,simulated,0.5696824082084287
bipartite,0.8,0.9,simple,0.0
bipartite,0.8,0.9,simulated,0.4888393735646726
star,0.8,1.0,simple,0.0
star,0.8,1.0,simulated,0.4449892230046704
tree,0.8,1.0,simple,0.331576928354943
tree,0.8,1.0,simulated,0.2958377325962157
complete,0.8,1.0,simple,0.1797932260134404
complete,0.8,1.0,simulated,0.38578511626374035
bipartite,0.8,1.0,simple,6.1758726948047515e-06
bipartite,0.8,1.0,simulated,0.23820809947103186
star,1.0,0.5,simple,0.0
star,1.0,0.5,simulated,0.0
tree,1.0,0.5,simple,0.40092495886795243
tree,1.0,0.5,simulated,0.4314842535595129
complete,1.0,0.5,simple,0.2372395670988236
complete,1.0,0.5,simulated,0.35709749121896806
bipartite,1.0,0.5,simple,0.0
bipartite,1.0,0.5,simulated,0.0
star,1.0,0.6,simple,0.0
star,1.0,0.6,simulated,0.0
tree,1.0,0.6,simple,0.5002391443350093
tree,1.0,0.6,simulated,0.5120724722174839
complete,1.0,0.6,simple,0.2488518323751403
complete,1.0,0.6,simulated,0.44637186402371004
bipartite,1.0,0.6,simple,0.27995723874543177
bipartite,1.0,0.6,simulated,0.0
star,1.0,0.6666666666666666,simple,0.0
star,1.0,0.6666666666666666,simulated,0.0
tree,1.0,0.6666666666666666,simple,0.5524380115699667
tree,1.0,0.6666666666666666,simulated,0.6052096459151406
complete,1.0,0.6666666666666666,simple,0.2488518323751403
complete,1.0,0.6666666666666666,simulated,0.0
bipartite,1.0,0.6666666666666666,simple,0.3113711338398501
bipartite,1.0,0.6666666666666666,simulated,0.0
star,1.0,0.7,simple,0.0
star,1.0,0.7,simulated,0.0
tree,1.0,0.7,simple,0.5804340352795547
tree,1.0,0.7,simulated,0.6335788480674128
complete,1.0,0.7,simple,0.2488518323751403
complete,1.0,0.7,simulated,0.2488518323751403
bipartite,1.0,0.7,simple,0.18115998304998007
bipartite,1.0,0.7,simulated,0.0
star,1.0,0.75,simple,0.0
star,1.0,0.75,simulated,0.0
tree,1.0,0.75,simple,0.6192504315188176
tree,1.0,0.75,simulated,0.682752131798018
complete,1.0,0.75,simple,0.0
complete,1.0,0.75,simulated,0.2488518323751403
bipartite,1.0,0.75,simple,0.08404291542077358
bipartite,1.0,0.75,simulated,0.0
star,1.0,0.8,simple,0.0
star,1.0,0.8,simulated,0.0
tree,1.0,0.8,simple,0.7059332861508097
tree,1.0,0.8,simulated,0.7262515750981686
complete,1.0,0.8,simple,0.0
complete,1.0,0.8,simulated,0.0
bipartite,1.0,0.8,simple,0.005218283130875203
bipartite,1.0,0.8,simulated,0.0
star,1.0,0.9,simple,0.0
star,1.0,0.9,simulated,0.0
tree,1.0,0.9,simple,0.6245399750131075
tree,1.0,0.9,simulated,0.626995571245138
complete,1.0,0.9,simple,0.0
complete,1.0,0.9,simulated,0.4977036647502806
bipartite,1.0,0.9,simple,0.0
bipartite,1.0,0.9,simulated,0.0
star,1.0,1.0,simple,0.0
star,1.0,1.0,simulated,0.0
tree,1.0,1.0,simple,0.31186072146788196
tree,1.0,1.0,simulated,0.29794567615304207
complete,1.0,1.0,simple,0.0
complete,1.0,1.0,simulated,0.3809924870528434
bipartite,1.0,1.0,simple,0.0019100662595630358
bipartite,1.0,1.0,simulated,0.0
